PUPIL_SEX,PUPIL_CLASS,TEACHER_RIGHT,TEACHER_CHK,TEACHER_QUEST,TEACHER_CORR,PUPIL_CORR,PUPIL_STRIP,GRADE
F,8A,65,0,4,2,1,6,4-
F,8A,70,4,0,4,0,4,3
F,8A,85,0,0,4,3,5,4
M,8A,55,0,0,1,8,3,3
M,8A,40,1,2,0,3,4,2
M,8A,65,0,3,4,4,8,4-
F,8A,67,0,0,1,3,3,4-
F,8A,60,0,2,0,5,9,3
F,8A,100,0,0,2,0,2,5-
F,8A,100,1,0,2,3,1,4
F,8A,100,1,0,2,0,5,5
F,8A,86,0,0,1,10,1,4
F,8A,50,1,0,6,0,1,4-
F,8A,60,3,0,4,1,5,4
F,8A,75,1,0,2,1,2,4
F,8A,80,0,1,1,1,2,4
F,8A,87,0,0,2,3,4,4
F,8A,90,0,0,1,1,1,4
M,8A,60,0,1,4,0,0,3
M,8A,40,1,3,3,1,2,3
F,8A,70,0,3,1,0,1,4
F,8A,85,1,0,1,0,1,4
F,8A,100,0,0,0,0,1,5
F,8A,40,0,0,1,2,4,4
F,8A,40,1,2,0,8,4,3
M,8A,100,0,0,0,0,0,5
F,8A,100,0,0,0,0,0,5
F,8A,100,0,0,0,0,5,5
M,8A,40,2,0,0,1,5,3
F,8A,80,0,1,1,0,5,4
M,8A,100,0,0,0,0,10,5
F,8A,100,0,0,1,0,2,5
F,8A,100,0,0,1,0,0,5-
F,8A,40,0,2,0,0,0,2
F,8A,100,0,0,2,0,5,5-
M,8A,100,0,0,0,0,2,5
F,8A,100,0,0,5,0,0,5-
F,8A,100,0,0,3,0,4,5-
F,8A,80,1,0,0,2,12,4-
M,8A,0,0,2,0,0,4,2
M,8A,60,1,1,4,9,0,4-
F,8A,80,1,0,1,0,12,4
F,8B,30,0,1,2,1,1,3
F,8B,50,0,1,2,1,1,2
F,8B,30,0,1,2,2,0,3
M,8B,80,0,1,1,0,2,4
F,8B,100,0,0,0,0,0,5
F,8B,0,0,0,2,0,1,2
F,8B,30,0,0,1,2,0,2
F,8B,60,0,1,1,3,2,4
F,8B,0,0,0,5,4,1,2
F,8B,20,0,0,2,2,1,3-
M,8B,20,0,0,2,0,6,2
M,8B,15,0,0,0,0,11,2
F,8B,100,0,0,0,2,0,5
F,8B,30,0,0,1,5,3,3-
F,8B,0,0,0,0,0,1,2
F,8B,50,1,0,0,0,0,3
F,8B,60,0,0,3,4,0,4
F,8B,0,0,0,0,1,0,2
F,8A,100,0,0,0,1,0,5
F,8A,90,0,1,1,1,7,4
F,8A,90,0,0,0,1,0,4
F,8A,95,0,1,2,1,0,5-
F,8A,50,0,2,6,0,5,3
F,8A,60,0,0,4,5,0,3
F,8A,70,0,0,2,1,4,4-
F,8A,80,1,0,2,1,7,4-
F,8A,85,0,0,1,2,2,4
F,8A,90,0,0,0,1,1,4
F,8A,95,0,0,3,1,2,5-
F,8A,55,0,0,0,3,3,3
