district;amount
Verhneufaley;545
Zlatoust;2190
Karabash;276
Kopeysk;797
Kyshtym;268
Magnotogorsk;2368
Miass;1949
Troitsk;1138
Ust-Karav;567
Chebarkul;653
Chelyabinsk;5522
Uzhnouralsk;460
Agapovka district;556
Argayash district;466
Asha district;1007
Bredy distirct;734
Varna district;340
Verhneuralsk district;865
Emanzhelinsk district;519
Etkul district;190
Kartaly district;1356
Kasli district;287
Katav-Ivanovsk district;905
Kizilskoe district;686
Korkino district;678
Krasnoarmeysk district;507
Kunashak district;198
Kusa distirct;712
Nagaybakskiy district;514
Nyazepyatrovsk district;567
Oktyabrskoe district;757
Plast district;313
Satka district;1599
Sosnovka district;749
Uvelka district;159
Uyskoe district;538
Chesma district;746
Troitsk district;1138
Chebarkul district;653
