district;salary;retired;pension;unemployed;ecology
Verhneufaley;19201;12009;3516;545;277031
Zlatoust;21436;49044;3655;2190;148301
Karabash;23256;4283;3454;276;47624
Kopeysk;23642;40490;3612;797;61702
Kyshtym;21136;12084;3631;268;103764
Magnotogorsk;31321;111867;3742;2368;2896829
Miass;25823;46670;3663;1949;192978
Troitsk;22537;28717;3377;1138;147209
Ust-Karav;18669;7888;3551;567;15427
Chebarkul;21106;18715;3416;653;25597
Uzhnouralsk;28952;11301;3758;460;15729
Agapovka district;23313;8034;3659;556;5
Argayash district;19894;10469;3220;466;16393
Asha district;17729;20320;3094;1007;1558410
Varna district;22998;7867;3486;340;4611
Verhneuralsk district;17283;10749;3084;865;159908
Emanzhelinsk district;19002;15751;3112;519;59384
Etkul district;23877;7444;3216;190;1487
Kartaly district;16967;13825;3534;1356;11130
Kasli district;18193;11993;3278;287;14707
Katav-Ivanovsk district;23103;11128;3276;905;27626
Korkino district;18931;20595;3462;678;1000
Krasnoarmeysk district;19034;11259;3455;507;20000
Nagaybakskiy district;17483;6647;3056;514;970
Nyazepyatrovsk district;19968;6406;3568;567;131
Plast district;21915;7010;3262;313;498
Satka district;25664;8187;3188;1599;440805
Sosnovka district;15083;25337;3483;749;2049
Troitsk district;20877;13688;3105;1138;5778
Uvelka district;16522;8310;3243;159;700
Chebarkul district;19916;7289;3196;653;13044
Chesma district;15404;5077;3308;746;1500
Chelyabinsk;;;;5522;2965298
Bredy distirct;;;;734;
Kizilskoe district;;;;686;
Kunashak district;;;;198;
Kusa distirct;;;;712;
Oktyabrskoe district;;;;757;
Uyskoe district;;;;538;
